model,response_model,image_path,zpid,room_type,replicate,score,level,confidence,valid,room_type_judgment,reasoning,input_tokens,output_tokens,cached_input_tokens,cache_write_tokens,thought_tokens,latency_s,cost_usd,error
claude-haiku-4-5,claude-haiku-4-5-20251001,images/245040272/245040272_12.jpg,245040272,kitchen,1,2.5,3,0.75,True,kitchen,"This is a narrow galley kitchen with white laminate cabinets, basic white appliances (refrigerator, stove, sink), and laminate countertops. The space is clean and functional but features dated builder-grade materials and finishes typical of Level 2-3 kitchens. The pink accent wall and simple pendant lighting do not elevate the fundamental material quality, which remains basic and worn in character.",3726,232,0,0,0,5.382,0.004886,
gpt-4o,gpt-4o-2024-08-06,images/245040272/245040272_12.jpg,245040272,kitchen,2,3.0,3,0.9,True,kitchen,"The kitchen features basic white cabinetry and appliances, with laminate countertops and a simple layout. The design is functional but lacks modern updates or high-end finishes. The condition appears maintained but not recently renovated, aligning with a dated but maintained style.",2081,77,1792,0,0,5.758,0.003733,
claude-haiku-4-5,claude-haiku-4-5-20251001,images/245040272/245040272_12.jpg,245040272,kitchen,5,2.5,3,0.75,True,kitchen,"This is a narrow galley kitchen with white laminate cabinets, basic white appliances (refrigerator, stove, sink), and laminate countertops. The space is clean and functional but features dated builder-grade materials and finishes typical of Level 2-3 kitchens. The pink accent wall and simple pendant lighting do not elevate the fundamental material quality, which remains basic and worn in character.",3726,232,0,0,0,5.548,0.004886,
claude-haiku-4-5,claude-haiku-4-5-20251001,images/245040272/245040272_12.jpg,245040272,kitchen,4,2.5,3,0.75,True,kitchen,"This is a narrow galley kitchen with white laminate cabinets, basic white appliances (refrigerator, stove, sink), and laminate countertops. The space is clean and functional but features dated builder-grade materials and finishes typical of Level 2-3 kitchens. The pink accent wall and simple pendant lighting do not elevate the fundamental material quality, which remains basic and worn in character.",3726,232,0,0,0,5.603,0.004886,
claude-haiku-4-5,claude-haiku-4-5-20251001,images/2054934812/2054934812_3.jpg,2054934812,kitchen,1,2.5,2,0.85,True,kitchen,"This kitchen features dated floral wallpaper throughout, basic wood cabinetry with simple hardware, minimal countertop space, and sparse open shelving. The flooring appears to be basic linoleum or vinyl, and there are no visible modern appliances, island, or contemporary finishes. The overall design and materials are consistent with Level 2–3 kitchens from the reference grid, showing age and wear without significant renovation or upscale finishes.",3726,241,0,0,0,5.963,0.004931,
claude-haiku-4-5,claude-haiku-4-5-20251001,images/245040272/245040272_12.jpg,245040272,kitchen,3,2.5,3,0.75,True,kitchen,"This is a narrow galley kitchen with white laminate cabinets, basic white appliances (refrigerator, stove, sink), and laminate countertops. The space is clean and functional but features dated builder-grade materials and finishes typical of Level 2-3 kitchens. The pink accent wall and simple pendant lighting do not elevate the fundamental material quality, which remains basic and worn in character.",3726,232,0,0,0,6.163,0.004886,
gpt-4o,gpt-4o-2024-08-06,images/245040272/245040272_12.jpg,245040272,kitchen,1,3.0,3,0.9,True,kitchen,"The kitchen features basic white cabinetry and appliances, with a simple layout typical of a galley kitchen. The countertops appear to be laminate, and the overall design is quite minimalistic and functional. The condition seems maintained but lacks any upscale or modern features, placing it in the dated but maintained category.",2081,89,1792,0,0,6.785,0.003853,
gpt-4o,gpt-4o-2024-08-06,images/245040272/245040272_12.jpg,245040272,kitchen,3,3.0,3,0.9,True,kitchen,"The kitchen features basic white cabinetry and appliances, with a simple layout typical of a galley kitchen. The countertops appear to be laminate, and the overall design is quite minimalistic and functional. The condition seems maintained but lacks any upscale or modern features, placing it in the dated but maintained category.",2081,89,1792,0,0,7.204,0.003853,
gemini-3.5-flash,gemini-3.5-flash,images/2054934812/2054934812_3.jpg,2054934812,kitchen,1,2.2,2,0.85,True,kitchen,"The kitchen features highly dated patterned wallpaper, worn linoleum flooring, and basic wood cabinetry with laminate countertops. The open shelving and simple wooden table further indicate a basic, un-renovated space that aligns with Level 2.",2636,396,0,0,294,8.41,0.007518,
claude-haiku-4-5,claude-haiku-4-5-20251001,images/2054934812/2054934812_3.jpg,2054934812,kitchen,2,2.5,2,0.85,True,kitchen,"This kitchen features dated floral wallpaper throughout, basic wood cabinetry with simple hardware, minimal countertop space, and sparse open shelving. The flooring appears to be basic linoleum or vinyl, and there are no visible modern appliances, island, or contemporary finishes. The overall design and materials are consistent with Level 2–3 kitchens from the reference grid, showing age and wear without significant renovation.",3726,235,0,0,0,3.589,0.004901,
