model,response_model,image_path,zpid,room_type,replicate,score,level,confidence,valid,room_type_judgment,reasoning,input_tokens,output_tokens,cached_input_tokens,cache_write_tokens,thought_tokens,latency_s,cost_usd,error
gemini-3.5-flash,gemini-3.5-flash,images/439578555/439578555_5.jpg,439578555,kitchen,1,4.2,4,0.9,True,kitchen,"This is a modern, minimalist single-wall kitchen featuring flat-panel wood cabinetry, integrated appliances, and a matching solid-surface countertop and backsplash. While the finishes are clean and updated, the compact layout lacks a built-in island, capping its luxury level at a high Level 4.",2851,618,0,0,528,6.87,0.009839,
gemini-3.5-flash,gemini-3.5-flash,images/347205007/347205007_16.jpg,347205007,kitchen,1,4.3,4,0.9,True,kitchen,"This kitchen features a modern, cohesive renovation with two-tone flat-panel cabinetry, quartz countertops, and a matching full-height slab backsplash. The stainless steel appliances are standard consumer-grade, and the layout is relatively compact with a small peninsula, placing it firmly in the updated mid-range category.",2851,737,0,0,621,7.199,0.010910,
gemini-3.5-flash,gemini-3.5-flash,images/245060365/245060365_5.jpg,245060365,kitchen,1,4.0,4,0.95,True,kitchen,"This is a beautifully renovated galley kitchen featuring modern flat-panel cabinetry, quartz countertops, and a full-height linear tile backsplash. While the finishes are clean and contemporary, the compact galley layout with no central island caps the score at Level 4 per the calibration rules.",2851,699,0,0,589,7.459,0.010568,
gemini-3.5-flash,gemini-3.5-flash,images/2054934812/2054934812_3.jpg,2054934812,kitchen,1,2.0,2,0.9,True,kitchen,"The space features highly dated patterned wallpaper, worn vinyl flooring, and basic wood cabinetry with simple laminate countertops. The open adjustable shelving and overall aesthetic indicate a basic, dated, and worn kitchen area that has not been updated in decades.",2879,494,0,0,392,7.729,0.008764,
gemini-3.5-flash,gemini-3.5-flash,images/245040272/245040272_12.jpg,245040272,kitchen,1,2.4,2,0.9,True,kitchen,"This is a highly compact galley kitchen featuring basic white flat-panel cabinets with visible wear at the bases, simple white laminate countertops, and standard white appliances. While clean and functional, the materials and layout are builder-grade and dated, aligning with Level 2.",2879,757,0,0,649,7.912,0.011132,
gemini-3.5-flash,gemini-3.5-flash,images/452935685/452935685_5.jpg,452935685,kitchen,1,2.0,2,0.9,True,kitchen,"The kitchen features highly dated flat-panel wood cabinetry with missing doors, basic laminate countertops, and older appliances. The worn sheet vinyl flooring and wood paneling further indicate a basic, un-renovated space in need of modernization.",2851,723,0,0,621,6.188,0.010783,
gemini-3.5-flash,gemini-3.5-flash,images/68313646/68313646_2.jpg,68313646,kitchen,1,5.0,5,0.9,True,kitchen,"This kitchen features high-end professional-grade stainless steel appliances, including a built-in refrigerator and wine cooler, which elevate it above a standard renovation. The large island with a thick dark stone countertop and modern flat-panel cabinetry provides a clean, upscale aesthetic. The overall layout and premium finishes align with a Level 5 classification.",2851,792,0,0,670,13.277,0.011404,
gemini-3.5-flash,gemini-3.5-flash,images/457610719/457610719_3.jpg,457610719,kitchen,1,4.2,4,0.9,True,kitchen,"This kitchen features a modern renovation with flat-panel wood-grain cabinets, quartz countertops, and a premium full-height slab backsplash that wraps around the window. While the finishes are high-quality and cohesive, the compact layout lacks an island, capping its luxury level at Level 4.",2851,813,0,0,700,6.157,0.011593,
gemini-3.5-flash,gemini-3.5-flash,images/245523004/245523004_2.jpg,245523004,kitchen,1,5.4,5,0.85,True,kitchen,"This kitchen features high-end modern finishes, including flat-panel minimalist cabinetry, a striking black-and-white veined stone waterfall island, and a matching full-height slab backsplash. While the finishes are upscale and designer-level, the overall footprint is somewhat compact, placing it at a high Level 5 rather than a spacious Level 6.",2851,987,0,0,860,7.573,0.013159,
gemini-3.5-flash,gemini-3.5-flash,images/320255113/320255113_3.jpg,320255113,kitchen,1,3.8,4,0.9,True,kitchen,"This is a compact, corner kitchen with no island, which caps its potential score at Level 4. It features modern updates including two-tone flat-panel cabinetry, a full-height stone-patterned backsplash, and polished tile flooring, but remains limited by its small footprint and standard appliances.",2851,901,0,0,786,7.083,0.012386,
