model,response_model,image_path,zpid,room_type,replicate,score,level,confidence,valid,room_type_judgment,reasoning,input_tokens,output_tokens,cached_input_tokens,cache_write_tokens,thought_tokens,latency_s,cost_usd,error
gemini-3.5-flash,gemini-3.5-flash,images/439578555/439578555_5.jpg,439578555,kitchen,1,4.8,5.0,0.85,True,kitchen,"This compact kitchen features high-quality minimalist flat-panel wood cabinetry, including a panel-ready integrated refrigerator. The clean design is elevated by a matching solid-surface countertop and full-height slab backsplash, though the single-wall layout lacks a built-in island.",2872.0,755.0,0.0,0.0,645.0,6.442,0.011103,
gemini-3.5-flash,gemini-3.5-flash,images/448006342/448006342_3.jpg,448006342,kitchen,1,5.4,5.0,0.9,True,kitchen,"This compact kitchen features high-end custom cabinetry with integrated panel-ready appliances and a warm wood accent niche. The island is finished with a premium quartz waterfall countertop, matching slab backsplash, and a minimalist matte black faucet, elevating it well above a standard mid-range renovation.",2872.0,818.0,0.0,0.0,708.0,6.787,0.01167,
gemini-3.5-flash,gemini-3.5-flash,images/245040272/245040272_12.jpg,245040272,kitchen,1,2.6,3.0,0.9,True,kitchen,"This is a narrow galley kitchen featuring basic white flat-panel cabinets, laminate countertops, and standard white appliances. While clean and maintained, the materials and compact layout represent a basic, dated standard.",2900.0,650.0,0.0,0.0,556.0,6.983,0.0102,
gemini-3.5-flash,gemini-3.5-flash,images/68313646/68313646_2.jpg,68313646,kitchen,1,5.2,5.0,0.9,True,kitchen,"This kitchen features high-end elements that elevate it above a standard renovation, including premium stainless steel appliances like a Sub-Zero style refrigerator and built-in wine cooler, a thick-mitered dark stone island countertop, and sleek flat-panel cabinetry. The modern design is cohesive and upscale, though the overall footprint remains somewhat compact.",2872.0,810.0,0.0,0.0,687.0,7.124,0.011598,
gemini-3.5-flash,gemini-3.5-flash,images/245060365/245060365_5.jpg,245060365,kitchen,1,4.3,4.0,0.9,True,kitchen,"This galley kitchen represents a high-quality modern renovation featuring sleek flat-panel cabinetry, quartz countertops, and a full-height elongated subway tile backsplash. While the finishes are clean and cohesive, the compact galley layout without an island and standard stainless steel appliances align it with a Level 4 standard updated mid-range classification.",2872.0,867.0,0.0,0.0,748.0,7.196,0.012111,
gemini-3.5-flash,gemini-3.5-flash,images/320255113/320255113_3.jpg,320255113,kitchen,1,3.8,4.0,0.85,True,kitchen,"The kitchen features a modern two-tone cabinet design with a matching stone countertop and full-height backsplash. However, the compact L-shaped layout lacks an island, the appliances are standard mid-range, and the overall space is constrained, keeping it at a solid mid-range level.",2872.0,830.0,0.0,0.0,716.0,7.703,0.011778,
gemini-3.5-flash,gemini-3.5-flash,images/347205007/347205007_16.jpg,347205007,kitchen,1,4.5,5.0,0.9,True,kitchen,"This kitchen features a modern, cohesive renovation with sleek two-tone flat-panel cabinetry, quartz countertops, and a matching full-height slab backsplash. While the stainless steel appliances are standard mid-range, the clean design, recessed lighting, and slab backsplash elevate it slightly above a basic Level 4 renovation.",2872.0,957.0,0.0,0.0,840.0,7.652,0.012921,
gemini-3.5-flash,gemini-3.5-flash,images/452935685/452935685_5.jpg,452935685,kitchen,1,2.0,2.0,0.95,True,kitchen,"The kitchen features highly dated flat-panel wood cabinetry, laminate countertops, and older appliances. The vinyl tile flooring, wood wall paneling, and overall worn condition represent a basic, un-renovated space consistent with Level 2.",2872.0,758.0,0.0,0.0,654.0,7.713,0.01113,
gemini-3.5-flash,gemini-3.5-flash,images/2054934812/2054934812_3.jpg,2054934812,kitchen,1,2.2,2.0,0.9,True,kitchen,"The kitchen features highly dated finishes including patterned wallpaper, worn vinyl flooring, and basic wood cabinetry with laminate countertops. While clean and maintained, the materials and overall design are obsolete and represent a basic, dated standard.",2900.0,329.0,0.0,0.0,232.0,8.393,0.007311,
gemini-3.5-flash,gemini-3.5-flash,images/457610719/457610719_3.jpg,457610719,kitchen,1,4.6,5.0,0.9,True,kitchen,"This compact kitchen features high-quality modern finishes, highlighted by a premium full-height quartz slab backsplash that wraps into the window frame. While it lacks an island due to space constraints, the upgraded Bosch dishwasher, sleek angled range hood, and seamless flat-panel cabinetry elevate it above a standard mid-range renovation.",2872.0,995.0,0.0,0.0,877.0,8.385,0.013263,
